symbol,raw_lattice_anchor_ts_utc,sensitivity_mode,selection_status,selected_template_time_shift_days,previous_unique_template_time_shift_days,current_unique_template_time_shift_days,raw_shift_delta_days,raw_anchor_spacing_days,effective_cycle_spacing_days,continuity_alert_delta_days,exceeds_continuity_alert_threshold,tied_shift_days
ETH,2025-04-20T00:00:00Z,MAX,TIED_TOP_CANDIDATES,,9.0,,,21.0,,3.0,,"-7.0,-1.0,1.0,2.0"
ETH,2025-05-11T00:00:00Z,MAX,UNIQUE_TOP_CANDIDATE,-1.0,9.0,-1.0,-10.0,42.0,32.0,3.0,True,-1.0
ETH,2025-06-01T00:00:00Z,MAX,UNIQUE_TOP_CANDIDATE,-9.0,-1.0,-9.0,-8.0,21.0,13.0,3.0,True,-9.0
ETH,2025-06-22T00:00:00Z,MAX,TIED_TOP_CANDIDATES,,-9.0,,,21.0,,3.0,,"-9.0,-8.0,-7.0,0.0,1.0,4.0,8.0"
ETH,2025-07-13T00:00:00Z,MAX,UNIQUE_TOP_CANDIDATE,-6.0,-9.0,-6.0,3.0,42.0,45.0,3.0,True,-6.0
ETH,2025-08-03T00:00:00Z,MAX,TIED_TOP_CANDIDATES,,-6.0,,,21.0,,3.0,,"-9.0,-8.0"
ETH,2025-08-24T00:00:00Z,MAX,UNIQUE_TOP_CANDIDATE,1.0,-6.0,1.0,7.0,42.0,49.0,3.0,True,1.0
ETH,2025-09-14T00:00:00Z,MAX,UNIQUE_TOP_CANDIDATE,2.0,1.0,2.0,1.0,21.0,22.0,3.0,False,2.0
ETH,2025-10-05T00:00:00Z,MAX,UNIQUE_TOP_CANDIDATE,0.0,2.0,0.0,-2.0,21.0,19.0,3.0,False,0.0
ETH,2025-10-26T00:00:00Z,MAX,TIED_TOP_CANDIDATES,,0.0,,,21.0,,3.0,,"-10.5,-10.0,-5.0,-3.0"
ETH,2025-11-16T00:00:00Z,MAX,TIED_TOP_CANDIDATES,,0.0,,,42.0,,3.0,,"-2.0,5.0"
ETH,2025-12-07T00:00:00Z,MAX,TIED_TOP_CANDIDATES,,0.0,,,63.0,,3.0,,"8.0,9.0,10.0"
ETH,2025-12-28T00:00:00Z,MAX,TIED_TOP_CANDIDATES,,0.0,,,84.0,,3.0,,"-10.5,-10.0,-9.0"
ETH,2026-01-18T00:00:00Z,MAX,UNIQUE_TOP_CANDIDATE,8.0,0.0,8.0,8.0,105.0,113.0,3.0,True,8.0
ETH,2026-02-08T00:00:00Z,MAX,TIED_TOP_CANDIDATES,,8.0,,,21.0,,3.0,,"-4.0,-3.0,2.0"
ETH,2026-03-01T00:00:00Z,MAX,TIED_TOP_CANDIDATES,,8.0,,,42.0,,3.0,,"-10.0,-7.0,-6.0,-2.0"
ETH,2026-03-22T00:00:00Z,MAX,TIED_TOP_CANDIDATES,,8.0,,,63.0,,3.0,,"-3.0,-2.0,-1.0,0.0,4.0,5.0,6.0,7.0"
ETH,2026-04-12T00:00:00Z,MAX,TIED_TOP_CANDIDATES,,8.0,,,84.0,,3.0,,"-10.5,-7.0,1.0,9.0"
ETH,2026-05-03T00:00:00Z,MAX,UNIQUE_TOP_CANDIDATE,-10.5,8.0,-10.5,-18.5,105.0,86.5,3.0,True,-10.5
ETH,2024-10-13T00:00:00Z,NORMAL,TIED_TOP_CANDIDATES,,,,,,,3.0,,"3.0,5.0"
ETH,2024-11-03T00:00:00Z,NORMAL,TIED_TOP_CANDIDATES,,,,,,,3.0,,"3.0,4.0,6.0,9.0"
ETH,2024-11-24T00:00:00Z,NORMAL,TIED_TOP_CANDIDATES,,,,,,,3.0,,"-10.5,-7.0,-6.0,0.0,2.0"
ETH,2024-12-15T00:00:00Z,NORMAL,TIED_TOP_CANDIDATES,,,,,,,3.0,,"-3.0,-1.0"
ETH,2025-01-05T00:00:00Z,NORMAL,UNIQUE_TOP_CANDIDATE,6.0,,6.0,,,,3.0,,6.0
ETH,2025-01-26T00:00:00Z,NORMAL,UNIQUE_TOP_CANDIDATE,1.0,6.0,1.0,-5.0,21.0,16.0,3.0,True,1.0
