sensitivity_mode,tolerance_hours,epoch_count,unique_top_candidate_count,tied_top_candidate_count,avg_selected_template_time_shift_days,avg_matched_base_marker_count
MAX,24.0,224,133,91,-0.766917,6
NORMAL,18.0,224,114,110,-1.565789,6
STRICT,12.0,224,109,115,-1.665138,6
