ts_utc,policy_name,equity_curve,drawdown
2026-03-30 10:00:00,rejected_htf_1h,1.005275771038568,0.0
2026-03-30 11:00:00,rejected_htf_1h,1.0110963648918148,0.0
2026-03-30 11:00:00,rejected_htf_1h,1.0139096965946177,0.0
2026-03-30 11:00:00,rejected_htf_1h,1.020810211861402,0.0
2026-03-30 11:00:00,rejected_htf_1h,1.0154703355027472,-0.005231017770597868
2026-03-30 11:00:00,rejected_htf_1h,1.0116117571007204,-0.009010935288263466
2026-03-30 11:00:00,rejected_htf_1h,1.0101023342026565,-0.010489587128267641
2026-03-30 11:00:00,rejected_htf_1h,1.0016450809069928,-0.018774431066341357
2026-03-30 11:00:00,rejected_htf_1h,1.0037766670932742,-0.01668629934360466
2026-03-30 11:00:00,rejected_htf_1h,0.9931022822535729,-0.027143076436612956
2026-03-30 19:00:00,rejected_htf_1h,0.992969868615939,-0.027272790693088078
2026-03-30 20:00:00,rejected_htf_1h,0.9908389697737996,-0.0293602490838637
2026-03-30 21:00:00,rejected_htf_1h,0.9827095960440422,-0.03732389760079402
2026-03-30 21:00:00,rejected_htf_1h,0.9807990377524883,-0.039195507298026566
2026-03-30 21:00:00,rejected_htf_1h,0.973965787740317,-0.04588945484358575
2026-03-30 21:00:00,rejected_htf_1h,0.9759877124486264,-0.043908749042629314
2026-03-30 22:00:00,rejected_htf_1h,0.969335956706962,-0.050424902255414294
2026-03-30 22:00:00,rejected_htf_1h,0.9619192209098192,-0.05769044065908946
2026-03-30 22:00:00,rejected_htf_1h,0.952465603309804,-0.06695133704332235
2026-03-30 22:00:00,rejected_htf_1h,0.9477169016931365,-0.07160323174567684
2026-03-30 22:00:00,rejected_htf_1h,0.9406173638875652,-0.07855803854823185
2026-03-30 22:00:00,rejected_htf_1h,0.9319494544388374,-0.08704924420821669
2026-03-30 22:00:00,rejected_htf_1h,0.9262748848746519,-0.09260813213689256
2026-03-30 22:00:00,rejected_htf_1h,0.9246609468494478,-0.09418916846122682
2026-03-30 22:00:00,rejected_htf_1h,0.9193595490774584,-0.09938249206868022
2026-03-30 22:00:00,rejected_htf_1h,0.9142246309287759,-0.10441272990233119
2026-03-30 22:00:00,rejected_htf_1h,0.9087931569414789,-0.10973347799456767
2026-03-30 22:00:00,rejected_htf_1h,0.9035792153990577,-0.11484112825299697
