policy_name,hold_hours,asset_id,symbol,ts_utc,entry_ts_utc,exit_ts_utc,selection_state,selection_bias,selection_score,priority_rank,entry_price,exit_price,gross_trade_return,fee_fraction,trade_return,actual_direction,equity_curve,drawdown
rejected_htf_top15_4h,4,22,LDO,2026-03-30 21:00:00,2026-03-30 21:00:00,2026-03-31 01:00:00,REJECTED_HTF,AVOID,0.108842,4,0.28044,0.27889,-0.005527028954500056,0.002,-0.007527028954500056,DOWN,0.9924729710454999,0.0
rejected_htf_top15_4h,4,14,VET,2026-03-30 22:00:00,2026-03-30 22:00:00,2026-03-31 02:00:00,REJECTED_HTF,AVOID,0.103665,8,0.005857,0.0058863,0.0050025610380740075,0.002,0.0030025610380740074,UP,0.9954529317197026,0.0
rejected_htf_top15_4h,4,26,WLD,2026-03-30 22:00:00,2026-03-30 22:00:00,2026-03-31 02:00:00,REJECTED_HTF,AVOID,0.080592,9,0.23889,0.2424,0.014692954916488817,0.002,0.012692954916488816,UP,1.0080881709035074,0.0
rejected_htf_top15_4h,4,20,FLOKI,2026-03-30 22:00:00,2026-03-30 22:00:00,2026-03-31 02:00:00,REJECTED_HTF,AVOID,0.027772,10,2.4115e-05,2.4344e-05,0.009496164213145374,0.002,0.007496164213145374,UP,1.0156449653739297,0.0
rejected_htf_top15_4h,4,7,HBAR,2026-03-30 22:00:00,2026-03-30 22:00:00,2026-03-31 02:00:00,REJECTED_HTF,AVOID,0.017647,11,0.076486,0.07636,-0.0016473603012316124,0.002,-0.0036473603012316122,DOWN,1.011940542247079,-0.0036473603012315836
rejected_htf_top15_4h,4,6,FIL,2026-03-30 22:00:00,2026-03-30 22:00:00,2026-03-31 02:00:00,REJECTED_HTF,AVOID,0.0,12,0.71655,0.7239,0.010257483776428676,0.002,0.008257483776428676,UP,1.0202966248573948,0.0
rejected_htf_top15_4h,4,13,SUI,2026-03-30 22:00:00,2026-03-30 22:00:00,2026-03-31 02:00:00,REJECTED_HTF,AVOID,0.008959,12,0.7557,0.76637,0.014119359534206639,0.002,0.012119359534206639,UP,1.0326619664855792,0.0
rejected_htf_top15_4h,4,1,BTC,2026-03-30 22:00:00,2026-03-30 22:00:00,2026-03-31 02:00:00,REJECTED_HTF,AVOID,0.0,13,58229.0,59209.0,0.0168301018392897,0.002,0.0148301018392897,UP,1.0479764486141216,0.0
rejected_htf_top15_4h,4,2,ETH,2026-03-30 22:00:00,2026-03-30 22:00:00,2026-03-31 02:00:00,REJECTED_HTF,AVOID,0.0,14,1773.21,1804.95,0.017899741147410633,0.002,0.015899741147410634,UP,1.064639002875669,0.0
rejected_htf_top15_4h,4,3,SOL,2026-03-30 22:00:00,2026-03-30 22:00:00,2026-03-31 02:00:00,REJECTED_HTF,AVOID,0.0,15,72.239,73.066,0.011448109746812637,0.002,0.009448109746812637,UP,1.0746978290155755,0.0
rejected_htf_top15_4h,4,17,AAVE,2026-03-30 23:00:00,2026-03-30 23:00:00,2026-03-31 03:00:00,REJECTED_HTF,AVOID,0.008959,7,84.44,85.56,0.013263855992420708,0.002,0.011263855992420708,UP,1.0868030705969742,0.0
rejected_htf_top15_4h,4,19,CRV,2026-03-30 23:00:00,2026-03-30 23:00:00,2026-03-31 03:00:00,REJECTED_HTF,AVOID,0.008756,8,0.18711,0.19031,0.01710223932446159,0.002,0.015102239324461591,UP,1.1032162306676894,0.0
rejected_htf_top15_4h,4,4,ADA,2026-03-30 23:00:00,2026-03-30 23:00:00,2026-03-31 03:00:00,REJECTED_HTF,AVOID,0.0,10,0.2123,0.21446,0.01017428167687246,0.002,0.00817428167687246,UP,1.1122342308876645,0.0
rejected_htf_top15_4h,4,9,NEAR,2026-03-30 23:00:00,2026-03-30 23:00:00,2026-03-31 03:00:00,REJECTED_HTF,AVOID,0.0,15,1.013,1.0274,0.014215202369200585,0.002,0.012215202369200585,UP,1.1258203970999094,0.0
rejected_htf_top15_4h,4,20,FLOKI,2026-03-31 21:00:00,2026-03-31 21:00:00,2026-04-01 01:00:00,REJECTED_HTF,AVOID,0.040519,14,2.4025e-05,2.4148e-05,0.005119667013527519,0.002,0.003119667013527519,UP,1.1293325818558986,0.0
rejected_htf_top15_4h,4,7,HBAR,2026-03-31 21:00:00,2026-03-31 21:00:00,2026-04-01 01:00:00,REJECTED_HTF,AVOID,0.029306,15,0.075844,0.076355,0.006737513844206681,0.002,0.004737513844206681,UP,1.1346828105971547,0.0
