ts_utc,policy_name,equity_curve,drawdown
2026-03-30 21:00:00,rejected_htf_top15_4h,0.9924729710454999,0.0
2026-03-30 22:00:00,rejected_htf_top15_4h,0.9954529317197026,0.0
2026-03-30 22:00:00,rejected_htf_top15_4h,1.0080881709035074,0.0
2026-03-30 22:00:00,rejected_htf_top15_4h,1.0156449653739297,0.0
2026-03-30 22:00:00,rejected_htf_top15_4h,1.011940542247079,-0.0036473603012315836
2026-03-30 22:00:00,rejected_htf_top15_4h,1.0202966248573948,0.0
2026-03-30 22:00:00,rejected_htf_top15_4h,1.0326619664855792,0.0
2026-03-30 22:00:00,rejected_htf_top15_4h,1.0479764486141216,0.0
2026-03-30 22:00:00,rejected_htf_top15_4h,1.064639002875669,0.0
2026-03-30 22:00:00,rejected_htf_top15_4h,1.0746978290155755,0.0
2026-03-30 23:00:00,rejected_htf_top15_4h,1.0868030705969742,0.0
2026-03-30 23:00:00,rejected_htf_top15_4h,1.1032162306676894,0.0
2026-03-30 23:00:00,rejected_htf_top15_4h,1.1122342308876645,0.0
2026-03-30 23:00:00,rejected_htf_top15_4h,1.1258203970999094,0.0
2026-03-31 21:00:00,rejected_htf_top15_4h,1.1293325818558986,0.0
2026-03-31 21:00:00,rejected_htf_top15_4h,1.1346828105971547,0.0
