ts_utc,policy_name,equity_curve,drawdown
2026-03-30 21:00:00,rejected_htf_top10_4h,0.9924729710454999,0.0
2026-03-30 22:00:00,rejected_htf_top10_4h,0.9954529317197026,0.0
2026-03-30 22:00:00,rejected_htf_top10_4h,1.0080881709035074,0.0
2026-03-30 22:00:00,rejected_htf_top10_4h,1.0156449653739297,0.0
2026-03-30 23:00:00,rejected_htf_top10_4h,1.02660480756329,0.0
2026-03-30 23:00:00,rejected_htf_top10_4h,1.0365605066445833,0.0
2026-03-30 23:00:00,rejected_htf_top10_4h,1.0482361749188587,0.0
2026-03-30 23:00:00,rejected_htf_top10_4h,1.0640668885010414,0.0
2026-03-30 23:00:00,rejected_htf_top10_4h,1.0822552832615835,0.0
2026-03-30 23:00:00,rejected_htf_top10_4h,1.091101942793247,0.0
