policy_name,asset_id,symbol,entry_ts_utc,exit_ts_utc,selection_state,selection_bias,selection_score,priority_rank,entry_price,exit_price,gross_trade_return,fee_fraction,trade_return,equity_curve,drawdown
rejected_htf_top10_4h,22,LDO,2026-03-30 21:00:00,2026-03-31 01:00:00,REJECTED_HTF,AVOID,0.108842,4,0.28044,0.27889,-0.005527028954500056,0.002,-0.007527028954500056,0.9924729710454999,0.0
rejected_htf_top10_4h,14,VET,2026-03-30 22:00:00,2026-03-31 02:00:00,REJECTED_HTF,AVOID,0.103665,8,0.005857,0.0058863,0.0050025610380740075,0.002,0.0030025610380740074,0.9954529317197026,0.0
rejected_htf_top10_4h,26,WLD,2026-03-30 22:00:00,2026-03-31 02:00:00,REJECTED_HTF,AVOID,0.080592,9,0.23889,0.2424,0.014692954916488817,0.002,0.012692954916488816,1.0080881709035074,0.0
rejected_htf_top10_4h,20,FLOKI,2026-03-30 22:00:00,2026-03-31 02:00:00,REJECTED_HTF,AVOID,0.027772,10,2.4115e-05,2.4344e-05,0.009496164213145374,0.002,0.007496164213145374,1.0156449653739297,0.0
rejected_htf_top10_4h,1,BTC,2026-03-30 23:00:00,2026-03-31 03:00:00,REJECTED_HTF,AVOID,0.132159,2,58244.0,58989.0,0.012791017100473869,0.002,0.010791017100473869,1.02660480756329,0.0
rejected_htf_top10_4h,3,SOL,2026-03-30 23:00:00,2026-03-31 03:00:00,REJECTED_HTF,AVOID,0.103665,5,71.98,72.822,0.01169769380383438,0.002,0.00969769380383438,1.0365605066445833,0.0
rejected_htf_top10_4h,17,AAVE,2026-03-30 23:00:00,2026-03-31 03:00:00,REJECTED_HTF,AVOID,0.008959,7,84.44,85.56,0.013263855992420708,0.002,0.011263855992420708,1.0482361749188587,0.0
rejected_htf_top10_4h,19,CRV,2026-03-30 23:00:00,2026-03-31 03:00:00,REJECTED_HTF,AVOID,0.008756,8,0.18711,0.19031,0.01710223932446159,0.002,0.015102239324461591,1.0640668885010414,0.0
rejected_htf_top10_4h,2,ETH,2026-03-30 23:00:00,2026-03-31 03:00:00,REJECTED_HTF,AVOID,0.0,9,1766.59,1800.32,0.019093281406551615,0.002,0.017093281406551614,1.0822552832615835,0.0
rejected_htf_top10_4h,4,ADA,2026-03-30 23:00:00,2026-03-31 03:00:00,REJECTED_HTF,AVOID,0.0,10,0.2123,0.21446,0.01017428167687246,0.002,0.00817428167687246,1.091101942793247,0.0
